I,O,I_error,O_error,M1_error,M2_error,M3_error
5,15,-0.054199390310657236,-3.3091360675484793,0.0009659445399137212,-0.032099442684693696,0.0310192136398319
5,15,-0.06030176934066667,-3.4204803669538464,0.002803648094855782,-0.03243292416125479,0.03188874670694081
5,15,-0.017144155338119305,-3.704339065264165,0.0062812652521454515,-0.035544225879630936,0.028449120821290586
5,15,0.011566798044882809,-3.4026309494935703,0.00880414848876876,-0.03541087869029627,0.024296193411117828
5,15,0.024773616414501376,-3.5893485312133606,0.011857511802053189,-0.03822676094648775,0.026583256499615182
5,15,0.040829253815469535,-4.040131019254719,0.015005115685074344,-0.04203798835371789,0.028841538853659865
5,15,0.09413914961816072,-4.04346304607094,0.019961930509702852,-0.04387712432888807,0.022259687492374836
5,15,0.11150429334668477,-3.6787942062744463,0.020550282714549173,-0.04155283293529102,0.01734357817839355
5,15,0.16903044185274574,-3.4768931065654805,0.0288586732802385,-0.04346302082541642,0.013555470599421027
5,15,0.19336586884183404,-3.719578941388555,0.03126594827975826,-0.045735350335386143,0.014011098361265517
5,15,0.14474690866840323,-3.6252136860323034,0.02397777343974483,-0.04178529377487042,0.01399285800439376
5,15,0.12885999875316134,-3.39453610760323,0.023456184565594285,-0.04129862980839971,0.013457714274769161
5,15,0.22404788026638212,-3.6988742127202414,0.03498037093750572,-0.04683650619336985,0.010884368223865404
5,15,0.29027623841060635,-4.504678848915766,0.04385490189132324,-0.05727651527776759,0.012121031576591335
5,15,0.2489511449264894,-4.26445334096784,0.03761311443717741,-0.05471802717453672,0.011344365087222918
5,15,0.2155246754776421,-3.9264781851207715,0.034620676394297556,-0.049990233367235654,0.0109258543912929
5,15,0.25692715284974277,-4.170280861997529,0.039864026979735234,-0.05254987890522991,0.011681811513329143
5,15,0.3117137265429557,-4.595105936875303,0.045724410377004365,-0.05944172763374078,0.011247700996761256
5,15,0.2889163344047443,-4.474908186797936,0.04274392015704487,-0.058820484060142564,0.010447060641462225
5,15,0.3108092014982313,-4.501609209376117,0.047220645481956036,-0.05982095469309265,0.007713482420853013
5,15,0.36405688560559923,-4.834554080900183,0.0536031805148065,-0.06433424117999753,0.007203757298815172
5,15,0.39161920715035414,-4.753246964471984,0.05454938188522318,-0.06484051602236068,0.0060226705516813195
5,15,0.3617085831199196,-4.803348062380131,0.05378330283365329,-0.06568575155208042,0.007382879743341786
5,15,0.40457784343505665,-4.972211093203736,0.05851663538618157,-0.06853871382068222,0.004050841861163945
5,15,0.4933976953606738,-4.979184365629202,0.06678019161594995,-0.07177063594009989,-0.00214861323687765
5,15,0.4908219128945088,-4.880309160583785,0.06730796999329403,-0.07057708915079611,-0.0007678420095045269
5,15,0.4415309784653534,-4.8823874531104074,0.06256716856115063,-0.07014942285363479,0.0015109571307238556
5,15,0.470020914182542,-4.98178633980265,0.06577193849397767,-0.07239356628403867,-0.0007195492658470526
5,15,0.5302516303964477,-5.111565446133682,0.07126367354814023,-0.07439228234784931,-0.0043727651973406445
5,15,0.5418176169983555,-4.936304124051311,0.07389444058850103,-0.074150522101154,-0.005098821367103046
5,15,0.5313123722641926,-5.410218926411133,0.07376381069219307,-0.07988110256441608,0.0001357425749794472
5,15,0.5233161142268035,-5.6702959939601705,0.07257848905136577,-0.08196120416439684,0.0010790098485332633
5,15,0.5301830476748712,-5.362848299719769,0.07213606647515203,-0.07752124504195734,-0.0022431119882745376
5,15,0.533657249417085,-5.237040676319737,0.07267021224250625,-0.07720099162207847,-0.0014820730427932416
5,15,0.5407760391348271,-5.5739630697731855,0.07567513101390222,-0.08198528588493773,0.000969178754880784
5,15,0.5444095393471686,-6.0618451518255405,0.07533966174676476,-0.08710215631796181,0.0015153183010387372
5,15,0.5518640421946319,-5.871930530398359,0.07533484442600857,-0.08410489570774801,0.0002127233933028605
5,15,0.5970236990097781,-5.634715639271697,0.08198129622245276,-0.08439891746457454,-0.0025286919184620005
5,15,0.5303681758078129,-5.840397720246955,0.07485606873243145,-0.08453089740726336,0.0019162359898475256
5,15,0.5667477453339282,-6.051915470590998,0.07673447191593818,-0.08767859715095785,0.0003974991041201803
5,15,0.6518562251891922,-5.9775955121458395,0.089043043294599,-0.09003079596349037,-0.00431921705575633
5,15,0.6207210035955546,-5.67311946266177,0.0843866002568382,-0.08581164454425916,-0.0046089741196075895
5,15,0.5485601457866984,-5.483660853459348,0.0744759063731415,-0.08136097558913977,-0.0030341608536585962
5,15,0.565678837673607,-5.466110415784577,0.07691424002417802,-0.08171190633420128,-0.004456286065581516
5,15,0.6404860236961998,-5.441023872699844,0.08645378281646676,-0.08364796828576146,-0.008085711013920305
5,15,0.6636214919500993,-5.639154620813407,0.08885154105445392,-0.08719903421234115,-0.008526241119816647
5,15,0.6624342976909094,-5.614890087144744,0.0876457581292418,-0.08866170132562878,-0.011849660233059722
5,15,0.7024347117134067,-5.565135700525701,0.09289485615156523,-0.08819462038689813,-0.011978370649891101
5,15,0.6735034013506596,-5.8472184070003514,0.09127829084549333,-0.0897359011432586,-0.007656464319806211
5,15,0.603461223067538,-5.698655688930032,0.08105171012079337,-0.08591971545488375,-0.005534230881722446
5,15,0.6434816982367897,-5.63696205413105,0.08551804968376298,-0.08763247376274488,-0.008830850797314271
5,15,0.6789357009595536,-6.069293295942067,0.09295768338958499,-0.09337147968756096,-0.00564684864315379
5,15,0.6531273227556484,-6.348868803769559,0.08859013373638647,-0.09383404472179574,-0.0013587125875174078
5,15,0.6708946237791986,-6.333912392548303,0.08996296181812335,-0.09631865735511586,-0.0054751019505162035
5,15,0.7047569560929556,-6.320804650294807,0.09420768428069348,-0.09832476266201917,-0.0060053139714316695
5,15,0.7120098742791994,-6.771271812810291,0.09762670914415628,-0.10205954292124408,-0.0018266751268217196
5,15,0.6852412559018006,-6.600157133309345,0.09297733248778106,-0.09857739702944199,-0.004126320555815799
5,15,0.6583931611205847,-6.228035345881132,0.08820915685043718,-0.09466386344421904,-0.00494955345337178
5,15,0.7570460411166842,-6.297753552058012,0.10067367773509617,-0.10008816423679318,-0.00964132096154402
5,15,0.7338492214480796,-6.4781914601592305,0.09936297365591906,-0.09997230440111438,-0.007613567775016039
5,15,0.7725408834784595,-6.296411180994021,0.1018085583329329,-0.0998013030104728,-0.013451733186395087
5,15,0.8436689653926237,-6.398703460659515,0.10989475021768136,-0.10493594518238333,-0.01688876640994591
5,15,0.8112882319158574,-5.843145159696533,0.10679431237176717,-0.09803271104037625,-0.01844661214081128
5,15,0.7749622043540008,-6.02010457787604,0.10348661195904019,-0.09742093936008919,-0.01422025791214121
5,15,0.7664507741131796,-6.227130068178692,0.10072673921116981,-0.09795429178055015,-0.014387807189065405
5,15,0.749341662936807,-5.704551343561469,0.09789876849289691,-0.0930030149157412,-0.016529076226088457
5,15,0.7803043877080231,-6.05621341782042,0.10378360733307535,-0.0989824820769678,-0.013925007095437592
5,15,0.8079588303342478,-6.675434198403902,0.10770601009920355,-0.10558084420485739,-0.010613019668097579
5,15,0.8263376026055003,-6.65903672334699,0.10863483717438105,-0.10617100128027315,-0.01478894470558928
5,15,0.8331029514855484,-6.039348259715965,0.1078812944200771,-0.10081337309490829,-0.01897686751543126
5,15,0.8215267032327569,-6.5251253798147815,0.10976015102128489,-0.10645150154631,-0.012498191653525947
5,15,0.780013069377965,-6.685913287620583,0.10400653434157969,-0.10432367728933514,-0.009058339369244661
5,15,0.7714175761048088,-6.300132774571477,0.1011752996792552,-0.09953337621860034,-0.014221242422447211
5,15,0.8386424091882407,-6.3250628174544445,0.11046080476676612,-0.10461392823646756,-0.01655550797560351
5,15,0.8132375228237887,-6.8201953598473075,0.10933323987638388,-0.10940593988824487,-0.009383984829495373
5,15,0.8034669280049691,-7.019074311870494,0.10625282815814063,-0.10926169102539582,-0.007844868877678157
5,15,0.8070618506091396,-7.016602156627808,0.10666145770835478,-0.10915740306037133,-0.009686459434015915
5,25,0.7898776197934563,2.984047187943691,0.03890628304037125,0.11889488330081702,-0.16117841928000387
5,25,0.7416257284553271,1.8839917847443601,0.06351536533424884,0.07968930053612663,-0.12417923604780079
5,25,0.5620717710757583,-2.5942075164999316,0.07303001735293546,-0.01046535217775875,-0.045564686277497324
5,25,0.23903730727780648,-8.7590118295711,0.05822264304295033,-0.09430800614415166,0.03850366206025502
5,25,0.268779471172369,-11.738582491998578,0.0703529884250208,-0.1334776674261701,0.05890216136529719
5,25,0.32841030760718315,-11.852053749008917,0.07880175310103688,-0.1352353335276677,0.05157648666376785
5,25,0.37778518018916785,-10.676411488094217,0.07982160763564339,-0.12310263634109134,0.03906448095114062
5,25,0.37123925414321235,-9.782946501548949,0.07650516480563896,-0.1151446764277867,0.03374086477381261
5,25,0.35306193991540535,-9.458238220046766,0.07515652170259313,-0.11070516268758526,0.032546998502063995
5,25,0.4066778154315278,-9.26951874281476,0.07994028036933087,-0.10944647302308005,0.02414672351333219
5,25,0.4755585651778631,-8.606101097214811,0.08437174494320021,-0.10436477053445214,0.012578720502812724
5,25,0.5076368663145798,-8.075677453017242,0.08630657779462536,-0.10057543271952306,0.007963462123561638
5,25,0.5068073968592808,-8.058644836269409,0.08807436587047102,-0.10035650210427098,0.007521746764291237
5,25,0.474030989268007,-7.45255197102837,0.08069972595883568,-0.09147377940673979,0.0032520965774272548
5,25,0.5192280096152793,-7.0162986528344575,0.08376874494410902,-0.08776151667179083,-0.0033616474781388295
5,25,0.5714128854443024,-7.155126183923656,0.09079495915392999,-0.09243383222460665,-0.005263322201635834
5,25,0.5458719460666872,-7.086096826601853,0.08823851386939474,-0.09075372584086538,-0.0037887477141108628
5,25,0.5818536461029415,-7.098004737322064,0.0923804435203005,-0.09068269086079145,-0.0105300836765716
5,25,0.6336322507494643,-6.59201223465935,0.09481477761647128,-0.08608909563027974,-0.01570199915066195
5,25,0.5590739608729889,-6.72176938295593,0.08709117092321794,-0.08620162411203933,-0.00775387948837003
5,25,0.5753681833366313,-6.787506405600386,0.09091704507449161,-0.08832534193777149,-0.011720229660722614
5,25,0.5903621474126304,-6.651523499098889,0.0911711564470058,-0.0866818869724709,-0.01292495886680034
5,25,0.6254707116388643,-6.751137869980138,0.09412706443311136,-0.08770222960680905,-0.013801615153138935
5,25,0.6161578898789379,-6.487757512531942,0.09403600151188074,-0.08450477352010258,-0.015247721324773589
5,25,0.6676583456351386,-6.647745576341158,0.10030035589071418,-0.08951075987432411,-0.020658646863459307
5,25,0.6873562610050001,-6.44046326040025,0.10014597975258421,-0.08662314374576258,-0.024556557460273742
5,25,0.6989261717130688,-6.31896745411516,0.10095062091476259,-0.08411603346926042,-0.024447956760674905
5,25,0.6761026930032026,-6.111036112418866,0.09943423287766051,-0.0834593605208652,-0.023786351141686146
5,25,0.6541503117064984,-6.24325524919799,0.09689695943746546,-0.08286085606976695,-0.021419672728807848
5,25,0.6512690591625265,-5.877331218926269,0.09350409140310922,-0.07837382544012747,-0.025925993179765405
5,25,0.6715320311887876,-5.4189947207704705,0.09595177800554267,-0.07418133040443686,-0.029519352003312682
5,25,0.6728868092822466,-5.611611933363136,0.09699579326369567,-0.07699315504357611,-0.027258757946180046
5,25,0.6554016921978612,-5.83018776941136,0.09402784735956082,-0.07908523846214784,-0.024644223947161148
5,25,0.6707529416798081,-6.006048987138115,0.09677859496443442,-0.08067265736380595,-0.02640081561851082
5,25,0.6986197679767621,-6.024470544480664,0.10130923480788712,-0.08153149937521409,-0.02764255497084389
5,25,0.6996408664018778,-6.045717816317698,0.10099272295891759,-0.08206597282706105,-0.026549947828197862
5,25,0.6674745739836547,-5.889911271125765,0.09596651914982812,-0.0810095519022783,-0.02456784148285429
5,25,0.646271605532247,-5.985848157676337,0.0941459265171879,-0.07963333105956188,-0.024728880269778708
5,25,0.6845902855513408,-5.725398583933448,0.09898168032287757,-0.07724052073430335,-0.029029812253458243
5,25,0.698103238446734,-6.0361360622725115,0.10027554988681742,-0.08254956819040749,-0.026222857808914424
5,25,0.6491569384291802,-5.98097656571521,0.09405963501585224,-0.0810619931708919,-0.0231254147647868
5,25,0.7001436458055545,-6.309058568291601,0.10270789150891069,-0.0846728589973423,-0.027199125899829313
5,25,0.7619910549476563,-6.115901995200627,0.10873729042542302,-0.08412023437694861,-0.032207604202499907
5,25,0.7276004599402697,-5.862830331303872,0.10218439712406457,-0.08182349073681923,-0.030414874991034457
5,25,0.6510030064393844,-5.75385071873902,0.0935029185899765,-0.0775608828590445,-0.0253279860532718
5,25,0.6771463068726602,-5.577746758330939,0.09719875871131312,-0.07517490332376842,-0.030488787440895004
5,25,0.731172336161606,-5.5980272196194,0.10330904026602161,-0.07877794433300321,-0.03476227552725564
5,25,0.7404362977232157,-5.940219844375424,0.10376719295513859,-0.08283853170177016,-0.030904558293644357
5,25,0.7062382786350039,-6.297220898082564,0.10205268737912532,-0.0841940904886321,-0.026083906380903743
5,25,0.7057447769387757,-5.871248511846542,0.10148810018100252,-0.08055837810516035,-0.030554386084721608
5,25,0.7164103686709655,-6.325280209162091,0.10340488587273511,-0.08762515006845989,-0.02785234610929077
5,25,0.7304507014168395,-6.75082042314795,0.1059341238918019,-0.09063029470954237,-0.023863217550829763
5,25,0.6806778640678859,-6.346987424507223,0.10020579955312725,-0.08469627654147482,-0.022361034502894617
5,25,0.6679296830342372,-6.024425237264616,0.09820254137803053,-0.08259989783462095,-0.02534757344439975
5,25,0.6683363741256096,-6.240547759989443,0.09729257200249053,-0.0827161928154296,-0.024582534760665742
5,25,0.6982756639533187,-5.880534881991856,0.09930114115524546,-0.07944101226471295,-0.027208890118054385
5,25,0.6820978500224362,-5.8315200967670435,0.09887196005713272,-0.08033932399844587,-0.02604277237949082
5,25,0.6137341556267266,-5.789558732502066,0.08982018234419809,-0.07773492258115311,-0.023137848037346753
5,25,0.6029675083625436,-5.536296505548023,0.08777903877565041,-0.0729694182987838,-0.02328770558585347
5,25,0.6846360949025811,-6.023610303585489,0.09977403365473203,-0.08177381418811101,-0.02516166874102399
5,25,0.6991820070774786,-6.529589265814707,0.10216827205951629,-0.08877667874418499,-0.022542461502888522
5,25,0.718776540859098,-6.79683336448544,0.10469556060037599,-0.09108831702460912,-0.024306348566752844
5,25,0.6970367847119849,-6.43843827820875,0.10273540214846111,-0.08623619291337964,-0.025492750966384925
5,25,0.7111130241742263,-6.124605237959425,0.103068674401525,-0.08382721276485078,-0.027150423162532022
5,25,0.7106565426076559,-6.204762523534281,0.10141270121200374,-0.08488900315228246,-0.026216013612079037
5,25,0.6700621669809532,-6.0371348421771565,0.09733508205718733,-0.0815296237821511,-0.024940399360842913
5,25,0.6677489034677686,-6.135382051017849,0.09848475569650683,-0.08159490783712026,-0.025353988079584333
5,25,0.6852003028079876,-5.93315291137176,0.09807636190324442,-0.081364321711024,-0.026693526964404635
5,25,0.7076481957870424,-6.6261451342743065,0.10295431341440608,-0.09028566482207366,-0.02257518564664651
5,25,0.6864067809244778,-6.979516276734387,0.10360351747030294,-0.09241191271132673,-0.017866018555803054
5,25,0.6877516964482746,-6.972937621742023,0.1037273049255123,-0.09211892911797452,-0.020857879778661603
5,25,0.7205556243618956,-6.764152511942505,0.10489594478818942,-0.09203291454654183,-0.02269186625927133
5,25,0.6847610631416359,-7.253655472075813,0.10302484420238978,-0.09698130330882106,-0.015124180320317038
