I,O,M1,M2
15,37,-0.004026699604976224,0.10450244212914488
15,38,-0.004346278938704496,0.10507768492985577
15,39,-0.00453802653894146,0.10584467533080362
15,40,-0.0052411010731436575,0.10705907679897106
15,41,-0.00600809147409151,0.10763431959968195
15,42,-0.0065194184080567446,0.10891263693459503
15,43,-0.007542072275987214,0.11006312253601681
15,44,-0.008628642010663339,0.11140535573767556
15,45,-0.009779127612085117,0.11268367307258864
15,46,-0.011121360813743859,0.11466506494170392
15,47,-0.012207930548419984,0.11658254094407355
15,48,-0.013550163750078725,0.11696603614454748
15,49,-0.015020228685228775,0.11907525974715408
15,50,-0.016426377753633172,0.12118448334976067
15,51,-0.01847168548949411,0.12316587521887595
15,52,-0.01994175042464416,0.12495551948775427
15,53,-0.021795310560268136,0.1271286589571065
15,54,-0.02371278656263777,0.12911005082622182
15,55,-0.026077673632226978,0.1319223489630306
15,56,-0.02818689723483357,0.13460681536634808
15,57,-0.03048786843767713,0.13594904856800683
15,58,-0.03310841897424896,0.13908092603854388
15,59,-0.03579288537756644,0.14208497177558965
15,60,-0.038221688313901304,0.14547251271310932
15,61,-0.04090615471721879,0.14764565218246156
15,62,-0.04346278938704497,0.150521866186016
15,63,-0.0469142461913103,0.15416507059051832
15,64,-0.05011003952859302,0.15748869566129234
15,65,-0.05298625353214746,0.16081232073206636
15,66,-0.055478972335227986,0.16407202993609474
15,67,-0.05893042913949332,0.16809872954107097
15,68,-0.06270146527748693,0.17174193394557327
15,69,-0.06589725861476965,0.1750655590163473
15,70,-0.06909305195205237,0.17934792208830613
15,71,-0.07318366742377425,0.18286329475931712
15,72,-0.07599596556058304,0.186953910231039
15,73,-0.08015049689905057,0.19136410503648915
15,74,-0.08385761717029852,0.19513514117448277
15,75,-0.08756473744154647,0.19967316771342422
15,76,-0.0914636053130314,0.20453077358609395
15,77,-0.09536247318451631,0.20874922079130714
15,78,-0.09932525692274688,0.21335116319699426
15,79,-0.10379936759494268,0.21744177866871614
15,80,-0.10859305760086677,0.22229938454138587
15,81,-0.11364241107377346,0.22754048561452953
15,82,-0.11843610107969753,0.23271767082092754
15,83,-0.12406069735331511,0.2376391925603429
15,84,-0.1289822190927305,0.2431359571004692
15,85,-0.1342872360326198,0.24812139470663022
15,86,-0.13908092603854388,0.2536181592467565
15,87,-0.1442581112449419,0.2591149237868828
15,88,-0.14988270751855948,0.2647395200605004
15,89,-0.15486814512472052,0.27055586393435493
15,90,-0.15902267646318805,0.2758608808742442
15,91,-0.1631772078016556,0.27988758047922047
15,92,-0.16752348674036008,0.28602350368680324
15,93,-0.17161410221208195,0.29113677302645563
15,94,-0.17551297008356687,0.2963139582328536
15,95,-0.17941183795505178,0.30142722757250595
15,96,-0.18331070582653672,0.30615700171168436
15,97,-0.18644258329707378,0.31127027105133676
15,98,-0.19078886223577826,0.3155526341232956
15,99,-0.19360116037258707,0.3201545765289827
15,100,-0.1976278599775633,0.3245008554676872
15,101,-0.200823653314846,0.3292306296068656
15,102,-0.20357203558490913,0.3331294974783505
15,103,-0.20721523998941144,0.3373479446835637
15,104,-0.20983579052598328,0.3408633173545747
15,105,-0.21303158386326598,0.34514568042653354
15,106,-0.21558821853309215,0.3488528006977815
15,107,-0.21840051666990096,0.35211250990180987
15,108,-0.2208293196062358,0.35652270470726005
15,109,-0.22357770187629897,0.3601019932450167
15,110,-0.22594258894588817,0.36336170244904503
15,111,-0.2284353077489687,0.36630183231934516
15,112,-0.23016103615110137,0.3702646160575757
15,113,-0.23271767082092754,0.3733325776613671
15,114,-0.23425165162282324,0.37640053926515854
15,115,-0.2365526228256668,0.37946850086894995
15,116,-0.23808660362756248,0.38240863073925
15,117,-0.24025974309691475,0.3845817702086023
15,118,-0.24198547149904742,0.3872662366119198
15,119,-0.24364728403443442,0.38969503954825463
25,5,-0.24588433937053233,0.3947443930211613
25,6,-0.24729048843893672,0.3970453642240049
25,7,-0.2490162168410694,0.3994102512935941
25,8,-0.2506780293764564,0.40119989556247243
25,9,-0.25214809431160645,0.4038204460990443
