I,O,Inclination,Orientation,Error_I,Error_O
5,15,3.604898906787398,340.4088083550601,1.395101093212602,-325.4088083550601
5,15,3.6784644714340673,341.8599151885764,1.3215355285659327,-326.8599151885764
5,15,3.734182367831535,342.22232116655715,1.2658176321684649,-327.22232116655715
5,15,3.7166323963788663,343.5745813123638,1.2833676036211337,-328.5745813123638
5,15,3.7104047787637744,344.8409908481227,1.2895952212362256,-329.8409908481227
5,15,3.7701907449518783,345.76867496021447,1.2298092550481217,-330.76867496021447
5,15,3.8617291896149535,346.9411984083236,1.1382708103850465,-331.9411984083236
5,15,3.84648213306374,347.9859225720533,1.15351786693626,-332.9859225720533
5,15,3.858630865539072,348.54217389409814,1.1413691344609278,-333.54217389409814
5,15,3.9139896400182312,351.1687958011651,1.0860103599817688,-336.1687958011651
5,15,3.966415935424343,352.0635386943987,1.033584064575657,-337.0635386943987
5,15,4.029394422459629,352.70549318647875,0.970605577540371,-337.70549318647875
5,15,4.046395770407213,353.26298990707903,0.9536042295927869,-338.26298990707903
5,15,4.0456138454579165,354.60785473007866,0.9543861545420835,-339.60785473007866
5,15,4.047175952472897,356.0462566455888,0.9528240475271028,-341.0462566455888
5,15,4.112623220160266,356.5277921993244,0.8873767798397338,-341.5277921993244
5,15,4.167983893304595,356.5418122009654,0.8320161066954048,-341.5418122009654
5,15,4.134696179582903,357.5247884009819,0.8653038204170969,-342.5247884009819
5,15,4.177305405294463,359.0563039325489,0.8226945947055366,-344.0563039325489
5,15,4.243198384325424,359.4299130646734,0.7568016156745756,-344.4299130646734
5,15,4.292697527981818,359.30361682679643,0.7073024720181822,-344.30361682679643
5,15,4.3129388993707325,0.1540233003791406,0.6870611006292675,14.84597669962086
5,15,4.30182628590509,1.0765176452262857,0.69817371409491,13.923482354773714
5,15,4.390006704411552,1.8434144096483756,0.6099932955884482,13.156585590351625
5,15,4.460261613196368,2.439183618084342,0.5397383868036316,12.560816381915657
5,15,4.46151691314215,2.1311395815204257,0.5384830868578501,12.868860418479574
5,15,4.476019928491023,2.718271978697719,0.5239800715089773,12.281728021302282
5,15,4.502114785657494,4.344895620311915,0.49788521434250566,10.655104379688085
5,15,4.51104957386669,4.116010276824507,0.48895042613330997,10.883989723175493
5,15,4.6095888178378726,3.906919897942117,0.39041118216212745,11.093080102057883
5,15,4.60637483108579,4.834666661298693,0.39362516891420984,10.165333338701307
5,15,4.574884288656798,5.256620851009593,0.42511571134320203,9.743379148990407
5,15,4.624368583836416,6.062483407721854,0.37563141616358386,8.937516592278147
5,15,4.65281183173823,6.500308856229536,0.3471881682617699,8.499691143770464
5,15,4.681657246010459,6.252079692630681,0.31834275398954137,8.74792030736932
5,15,4.754051771290163,6.988278198625751,0.24594822870983712,8.01172180137425
5,15,4.769632319883005,7.6194336856815905,0.23036768011699493,7.3805663143184095
5,15,4.722653278406264,8.235097327175893,0.2773467215937364,6.764902672824107
5,15,4.731840921740662,8.137726987789696,0.2681590782593384,6.862273012210304
5,15,4.820916947177609,8.119113483257454,0.17908305282239123,6.880886516742546
5,15,4.843097457511415,8.779398867733017,0.15690254248858526,6.220601132266983
5,15,4.854309842198559,9.48605687809902,0.14569015780144134,5.513943121900979
5,15,4.849844353572403,9.573855848293482,0.1501556464275966,5.426144151706518
5,15,4.844960969455165,9.61009912363641,0.1550390305448346,5.3899008763635905
5,15,4.922061771383396,9.736645170898624,0.07793822861660438,5.263354829101376
5,15,4.955341431360748,10.151560252890487,0.044658568639252216,4.848439747109513
5,15,4.951826039361197,10.501775139178717,0.048173960638803415,4.498224860821283
5,15,4.980322473852644,10.840844895972076,0.01967752614735563,4.159155104027924
5,15,4.961334150237165,10.724384556386791,0.03866584976283516,4.2756154436132086
5,15,5.024796818768295,10.830527044896971,-0.024796818768295203,4.1694729551030285
5,15,5.058421085412653,11.444241435172785,-0.05842108541265301,3.555758564827215
5,15,5.007253476686289,11.60681998546707,-0.007253476686289062,3.3931800145329305
5,15,5.040057004022333,11.740795512953058,-0.0400570040223327,3.259204487046942
5,15,5.091929840726821,12.162228256154146,-0.09192984072682098,2.8377717438458543
